Title,Company,Location,Date Posted,Source
Back End Engineer,Barstool Sports,"New York, NY",2025-04-11,LinkedIn
"Full Stack Software Engineer (L5), Content Middleware Infrastructure",Netflix,"New York, NY",2025-05-08,LinkedIn
Backend Engineer (Go),Porter,"New York, NY",2024-02-23,LinkedIn
Full Stack Engineer,Porter,"New York, NY",2023-06-05,LinkedIn
"Full Stack Engineer (L5), N-Tech Software Engineering",Netflix,United States,2025-05-05,LinkedIn
Full Stack Developer,Toyota North America,"Plano, TX",2025-05-13,LinkedIn
Backend Engineer,Ritual,"New York, NY",2024-11-04,LinkedIn
Backend Software Engineer,Pinterest,United States,2025-05-16,LinkedIn
"Associate Software Engineer, Backend Python",PayPal,"San Jose, CA",2025-04-22,LinkedIn
Backend Software Engineer,Pinterest,"San Francisco, CA",2025-05-15,LinkedIn
Backend Engineer,Hamming AI,"San Francisco, CA",2024-10-11,LinkedIn
Backend Engineer,Lendtable,"San Francisco, CA",2024-07-03,LinkedIn
Backend Software Engineer: APM,"Observe, Inc.","San Mateo, CA",2025-02-18,LinkedIn
"Backend Staff Software Engineer, On Trip",Airbnb,"San Francisco, CA",2025-05-03,LinkedIn
"Backend Software Engineer, Leverage Engineering",OpenAI,"San Francisco, CA",2025-04-15,LinkedIn
Back End Developer,Apollo Solutions,"San Mateo, CA",2025-05-07,LinkedIn
"Backend/API Engineer, Money as a Service (US)",Stripe,"San Francisco, CA",2025-05-23,LinkedIn
Backend Engineer,HeyGen,"San Francisco, CA",2024-11-04,LinkedIn
Full-Stack Engineer,Hedra,"San Francisco, CA",2024-08-23,LinkedIn
Backend Engineer,Lightning AI,"San Francisco, CA",2024-11-04,LinkedIn
